Variance_C3,Variance_C4,Class
109468134.59371927,119966048.76528476,Rest
109460902.44966821,119299314.49204428,Rest
109393547.77336124,118792350.12872879,Rest
109391103.68754122,118533413.32523096,Rest
109425545.17370522,118315502.70456006,Rest
109415595.77837718,118137951.43454845,Rest
109414153.1823866,117969784.87980689,Rest
109475098.35011686,117906735.65363114,Rest
109409312.7560137,117741814.48920476,Rest
109341652.590557,117604340.262385,Rest
109295643.20353304,117482907.510792,Rest
109287987.96396932,117408608.77355194,Rest
109338106.9337829,117360191.51459315,Rest
109304671.7703946,117281177.2339072,Rest
109321451.75434257,117214050.23593582,Rest
109213505.57572478,117006080.4889914,Passthought
108672278.59747095,116311590.50159249,Passthought
107944009.926715,115662767.42203349,Passthought
108159684.27867247,115902716.8959619,Passthought
107400754.93053578,115112405.82168907,Passthought
107851785.91821352,115276107.26463737,Passthought
108151317.32934973,115410957.14135064,Passthought
108364957.8649036,115487610.43612124,Passthought
108457023.6631122,115541839.93044072,Passthought
108484538.90300423,115506758.48597324,Passthought
108416072.30340339,115477810.5061935,Passthought
108485790.36529666,115514877.64125837,Passthought
108504705.48267642,115541488.16495395,Passthought
108569377.86670609,115526295.15387581,Passthought
108583658.47501676,115542080.65421407,Passthought
