Energia_C3,Energia_C4,Clase
142.83103349390433,115.85010612128106,Passthought
161.5789616252602,163.89854531516107,Reposo
169.23965854743886,149.25757836902628,Reposo
142.64370622311228,148.01867146755433,Passthought
150.5257511969084,155.34525542431408,Reposo
153.20091883138443,133.98974276206872,Reposo
127.19384032615935,155.42468112521257,Passthought
172.4941589978725,143.3378759410795,Reposo
143.3495680766976,155.87570516980202,Passthought
144.12810822209315,166.53135191252582,Passthought
148.57755911902808,153.35455715692274,Passthought
146.65051768203946,143.74636546312593,Passthought
163.79902715382477,165.88129843708055,Reposo
137.70766819724716,115.49958339013484,Passthought
132.515041632896,166.7491846944603,Passthought
179.7437653009991,153.92604297454156,Reposo
170.34559199727138,170.08510704687296,Reposo
148.31570738077048,149.43512713469804,Passthought
170.27796720858268,131.52740130865445,Reposo
146.62713444962495,179.532463270969,Passthought
144.3838706772949,118.56139756752742,Passthought
151.28576440541764,143.46318334199046,Reposo
121.89156262850418,145.52609126219502,Passthought
144.47000312374246,175.1670130625156,Passthought
177.15068921554305,162.96720989787613,Reposo
145.3946296859173,152.8925970031249,Passthought
139.67629064417946,139.78409556457746,Passthought
166.77356978872746,126.64680607339179,Reposo
143.42040017712705,150.20227198810002,Passthought
142.74821620065035,145.44711865748872,Passthought
122.40461667052477,165.8937962868426,Passthought
138.91694073447644,136.4796395036415,Passthought
138.499631556141,145.1759701240753,Passthought
127.69985171124948,148.537049838798,Passthought
149.79033705056995,136.9214369242085,Passthought
126.39973638032887,144.59930968486017,Passthought
128.7552316201493,112.5224172012067,Passthought
154.85576858398915,143.25050807631575,Reposo
168.54738961314476,141.92632663254483,Reposo
156.18772890307054,114.32910785951162,Reposo
