session_id,session_type,notes
20260907_231607,genuine,
20260907_234704,genuine,
20260907_234840,genuine,
20260907_235029,genuine,
20260907_235141,impostor,
20260907_235249,impostor,
20260907_235359,impostor,
20260907_235510,impostor,
20260907_235638,impostor,
20260908_004327,genuine,
20260908_004527,genuine,
20260908_004756,genuine,
20260908_004912,impostor,
20260908_005055,impostor,
20260908_005348,impostor,
20260908_010113,impostor,
20260908_010226,impostor,
20260908_010419,genuine,
20260908_010541,genuine,
20260909_205347,genuine,
20260909_205520,genuine,
20260909_205658,genuine,
20260909_205834,impostor,
20260909_210002,impostor,
20260910_010023,impostor,
20260910_010225,impostor,
20260910_010411,genuine,
20260910_010554,genuine,
20260910_010740,genuine,
20260910_010928,genuine,
20260910_011210,genuine,
20260910_012424,impostor,
20260910_012552,impostor,
20260910_022424,genuine,
20260910_022650,genuine,
20260910_022818,impostor,
20260910_022942,impostor,
20260910_023124,genuine,
20260910_023240,genuine,
20260910_023458,genuine,
20260910_023826,impostor,
20260910_024036,impostor,
20260910_024231,impostor,
20260910_024634,genuine,
20260910_144550,impostor,
20260910_145026,genuine,
20260910_145338,impostor,
20260910_145518,impostor,
20260910_145712,impostor,
20260910_150549,genuine,
